"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.224,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.0984,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.9857,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.906,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.8685,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.8203,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.6835,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.4035,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.0861,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.8837,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.9205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.1007,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.3018,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4238,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4167,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.1919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.6618,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.99753,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.40535,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.03745,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.83054,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.70997,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.6328,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.54456,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.3909,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.14032,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.87227,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.70013,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.71163,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.81331,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.8829,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.83141,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.69738,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.53456,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.3821,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.26358,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.20839,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.23923,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.29624,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.30443,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.21498,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.09534,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.05482,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.2005,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.51384,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",97.99994,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.66904,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.34525,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.78385,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.7813,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.52302,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.22546,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",99.03411,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",98.96053,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",99.00828,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",99.18092,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",99.36878,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",99.43838,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",99.30666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-05",99.13354,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-06",99.15877,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-07",99.58012,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-08",100.2334,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-09",100.9244,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-10",101.5295,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-11",102.0582,
